Date,Symbol,Open,High,Low,Close,Volume
2018-01-01,SSI,17950.0,18100.0,17950.0,18000.0,30482176
2018-01-02,SSI,17900.0,18050.0,17650.0,17850.0,28160770
2018-01-03,SSI,17850.0,18150.0,17800.0,18100.0,25019275
2018-01-04,SSI,18200.0,18900.0,18100.0,18550.0,35571893
2018-01-05,SSI,18500.0,18700.0,18200.0,18350.0,40336225
2018-01-08,SSI,18450.0,19450.0,18450.0,19300.0,34682646
2018-01-09,SSI,19400.0,19750.0,19250.0,19650.0,26490650
2018-01-10,SSI,19650.0,19700.0,18500.0,18600.0,42119383
2018-01-11,SSI,18600.0,18600.0,18450.0,18550.0,31133925
2018-01-12,SSI,18400.0,19200.0,18300.0,19150.0,43289274
2018-01-15,SSI,19100.0,19450.0,19050.0,19300.0,34990000
2018-01-16,SSI,19250.0,19650.0,19150.0,19550.0,31621849
2018-01-17,SSI,19500.0,19800.0,19400.0,19750.0,22246353
2018-01-18,SSI,19800.0,20250.0,19650.0,20050.0,36176070
2018-01-19,SSI,20050.0,20050.0,19350.0,19350.0,33317179
2018-01-22,SSI,19400.0,19400.0,19150.0,19200.0,24546949
2018-01-23,SSI,19250.0,19450.0,19100.0,19400.0,27123414
2018-01-24,SSI,19350.0,19600.0,18800.0,18800.0,30374597
2018-01-25,SSI,18750.0,19050.0,18700.0,18800.0,29535468
2018-01-26,SSI,18800.0,18900.0,18500.0,18600.0,27285616
2018-01-29,SSI,18700.0,18900.0,18700.0,18800.0,29998203
2018-01-30,SSI,18850.0,18950.0,18350.0,18400.0,28578603
2018-01-31,SSI,18400.0,19400.0,18350.0,19400.0,36807631
2018-02-01,SSI,19350.0,19500.0,18650.0,18750.0,39150142
2018-02-02,SSI,18750.0,19850.0,18550.0,19800.0,39800214
2018-02-05,SSI,19850.0,20000.0,19250.0,19350.0,35050352
2018-02-06,SSI,19350.0,20250.0,19250.0,20100.0,45025836
2018-02-07,SSI,20150.0,20200.0,19200.0,19200.0,45732255
2018-02-08,SSI,19150.0,19400.0,19000.0,19350.0,24648975
2018-02-09,SSI,19350.0,19500.0,19100.0,19200.0,29633664
2018-02-12,SSI,19300.0,19350.0,18850.0,19000.0,35515390
2018-02-13,SSI,19000.0,19050.0,18700.0,18750.0,28400586
2018-02-14,SSI,18800.0,19900.0,18750.0,19850.0,40638677
2018-02-15,SSI,19950.0,20050.0,19650.0,19750.0,28283007
2018-02-16,SSI,19650.0,20100.0,19650.0,20050.0,24602830
2018-02-19,SSI,20050.0,20250.0,19950.0,20200.0,21614467
2018-02-20,SSI,20200.0,20550.0,20100.0,20500.0,39557982
2018-02-21,SSI,20450.0,20800.0,20400.0,20750.0,36700388
2018-02-22,SSI,20650.0,21300.0,20550.0,21250.0,33676587
2018-02-23,SSI,21450.0,21600.0,21300.0,21600.0,20349779
2018-02-26,SSI,21750.0,21850.0,21250.0,21350.0,41972413
2018-02-27,SSI,21300.0,21400.0,20900.0,21000.0,39857024
2018-02-28,SSI,21000.0,21150.0,20850.0,21000.0,22746813
2018-03-01,SSI,20950.0,21050.0,20700.0,20900.0,27771568
2018-03-02,SSI,20900.0,20900.0,20050.0,20150.0,36446150
2018-03-05,SSI,20100.0,20650.0,20050.0,20550.0,25376316
2018-03-06,SSI,20400.0,21300.0,20350.0,21100.0,44765661
2018-03-07,SSI,21050.0,21100.0,20250.0,20350.0,46162958
2018-03-08,SSI,20300.0,21250.0,20200.0,20950.0,39260263
2018-03-09,SSI,21050.0,21050.0,20750.0,20800.0,27355692
2018-03-12,SSI,20750.0,21150.0,20600.0,21000.0,33104896
2018-03-13,SSI,21050.0,21400.0,21050.0,21200.0,31391858
2018-03-14,SSI,21100.0,21650.0,20900.0,21650.0,31189901
2018-03-15,SSI,21750.0,21750.0,20600.0,20850.0,35663770
2018-03-16,SSI,21050.0,21200.0,19800.0,20050.0,38483578
2018-03-19,SSI,20050.0,20600.0,20000.0,20400.0,37432378
2018-03-20,SSI,20500.0,21200.0,20500.0,21100.0,31437191
2018-03-21,SSI,21200.0,21550.0,21150.0,21300.0,26357274
2018-03-22,SSI,21200.0,22350.0,21050.0,21950.0,50237943
2018-03-23,SSI,21950.0,22750.0,21950.0,22600.0,31194543
2018-03-26,SSI,22650.0,22700.0,21750.0,21800.0,34102200
2018-03-27,SSI,21850.0,22600.0,21800.0,22500.0,27312959
2018-03-28,SSI,22650.0,23050.0,22550.0,23050.0,30808986
2018-03-29,SSI,23000.0,23000.0,22800.0,23000.0,21776035
